UT,DI,TI,PY,LA,DT,TC,SO,JI,AU,AF,C1,RP,AB,VL,IS,BP,EP,DE,CR,ID,PMID,DB,SR,SR_FULL
https://openalex.org/W2101234009,10.48550/arxiv.1201.0490,Scikit-learn: Machine Learning in Python,2012,en,preprint,63668,ARXIV (CORNELL UNIVERSITY),arXiv (Cornell University),"['Fabián Pedregosa', 'Gaël Varoquaux', 'Alexandre Gramfort', 'Vincent Michel', 'Bertrand Thirion', 'Olivier Grisel', 'Mathieu Blondel', 'Müller, Andreas', 'Nothman, Joel', 'Louppe, Gilles', 'Peter Prettenhofer', 'Ron J. Weiss', 'Vincent Dubourg', 'Jake Vanderplas', 'Alexandre Passos', 'David Cournapeau', 'Matthieu Brucher', 'Matthieu Perrot', 'Édouard Duchesnay']","['Pedregosa, Fabian', 'Varoquaux, Gaël', 'Gramfort, Alexandre', 'Michel, Vincent', 'Thirion, Bertrand', 'Grisel, Olivier', 'Blondel, Mathieu', 'Müller, Andreas', 'Nothman, Joel', 'Louppe, Gilles', 'Prettenhofer, Peter', 'Weiss, Ron', 'Dubourg, Vincent', 'Vanderplas, Jake', 'Passos, Alexandre', 'Cournapeau, David', 'Brucher, Matthieu', 'Perrot, Matthieu', 'Duchesnay, Édouard']","['LNAO - Laboratoire de Neuroimagerie Assistée par Ordinateur (France)', 'PARIETAL - Modelling brain structure, function and variability based on high-field MRI data (Neurospin, CEA Saclay, Bâtiment 145, 91191 Gif-sur-Yvette Cedex - France)', 'LNAO - Laboratoire de Neuroimagerie Assistée par Ordinateur (France)', 'PARIETAL - Modelling brain structure, function and variability based on high-field MRI data (Neurospin, CEA Saclay, Bâtiment 145, 91191 Gif-sur-Yvette Cedex - France)', 'LNAO - Laboratoire de Neuroimagerie Assistée par Ordinateur (France)', 'PARIETAL - Modelling brain structure, function and variability based on high-field MRI data (Neurospin, CEA Saclay, Bâtiment 145, 91191 Gif-sur-Yvette Cedex - France)', 'PARIETAL - Modelling brain structure, function and variability based on high-field MRI data (Neurospin, CEA Saclay, Bâtiment 145, 91191 Gif-sur-Yvette Cedex - France)', 'LNAO - Laboratoire de Neuroimagerie Assistée par Ordinateur (France)', 'LNAO - Laboratoire de Neuroimagerie Assistée par Ordinateur (France)', 'PARIETAL - Modelling brain structure, function and variability based on high-field MRI data (Neurospin, CEA Saclay, Bâtiment 145, 91191 Gif-sur-Yvette Cedex - France)', 'Nuxeo (18-20 rue Soleillet 75020 Paris - France)', 'Kobe University (Japan)', 'Bauhaus-Universität Weimar (Geschwister-Scholl-Straße 8 99423 Weimar - Germany)', 'Google Inc (Toronto - Canada)', 'LAMI - Laboratoire de Mécanique et Ingénieries (IFMA. Campus des Cézeaux BP 265 63175 Aubière Cedex - France)', 'University of Washington [Seattle] (Seattle, Washington 98105 - United States)', 'Department of Mechanical and Industrial Engineering [UMass] (UMass Amherst College of Engineering Department of Mechanical and Industrial Engineering, 220 ELAB, University of Massachusetts Amherst, MA 01003-2210 - United States)', 'Enthought Inc (515 Congress Avenue Suite 2100 Austin, TX 78701 - United States)', 'TOTAL S.A. (France)', 'LNAO (France)', 'LNAO - Laboratoire de Neuroimagerie Assistée par Ordinateur (France)']","Pedregosa, Fabian (corresponding author), LNAO - Laboratoire de Neuroimagerie Assistée par Ordinateur (France); PARIETAL - Modelling brain structure, function and variability based on high-field MRI data (Neurospin, CEA Saclay, Bâtiment 145, 91191 Gif-sur-Yvette Cedex - France)","Scikit-learn is a Python module integrating a wide range of state-of-the-art machine learning algorithms for medium-scale supervised and unsupervised problems. This package focuses on bringing machine learning to non-specialists using a general-purpose high-level language. Emphasis is put on ease of use, performance, documentation, and API consistency. It has minimal dependencies and is distributed under the simplified BSD license, encouraging its use in both academic and commercial settings. Source code, binaries, and documentation can be downloaded from http://scikit-learn.org.",,,,,"['Python (programming language)', 'Documentation', 'Computer science', 'MIT License', 'Artificial intelligence', 'Machine learning', 'Programming language', 'License', 'Software engineering', 'Operating system']","['https://openalex.org/W1496508106', 'https://openalex.org/W1571024744', 'https://openalex.org/W2024933578', 'https://openalex.org/W2035776949', 'https://openalex.org/W2040387238', 'https://openalex.org/W2047804403', 'https://openalex.org/W2063978378', 'https://openalex.org/W2097360283', 'https://openalex.org/W2097850441', 'https://openalex.org/W2118585731', 'https://openalex.org/W2146292423', 'https://openalex.org/W2152799677', 'https://openalex.org/W2153635508']",[],,OPENALEX,"Fabián Pedregosa, 2012, arXiv (Cornell University)","Fabián Pedregosa, 2012, arXiv (Cornell University)"
https://openalex.org/W3023540311,10.5860/choice.27-0936,"Genetic algorithms in search, optimization, and machine learning",1989,en,article,49333,CHOICE REVIEWS ONLINE,Choice Reviews Online,[],[],[],,"From the Publisher:
This book brings together - in an informal and tutorial fashion - the computer techniques, mathematical tools, and research results that will enable both students and practitioners to apply genetic algorithms to problems in many fields. 

Major concepts are illustrated with running examples, and major algorithms are illustrated by Pascal computer programs. No prior knowledge of GAs or genetics is assumed, and only a minimum of computer programming and mathematics background is required.",27,02,27,0936,"['Computer science', 'Artificial intelligence', 'Machine learning', 'Quality control and genetic algorithms', 'Algorithm', 'Genetic algorithm', 'Meta-optimization']",[],[],,OPENALEX,"NA, 1989, Choice Reviews Online","NA, 1989, Choice Reviews Online"
https://openalex.org/W2125055259,,C4.5: Programs for Machine Learning,1992,en,book,23696,,,['J. R. Quinlan'],['J. R. Quinlan'],"['Univ. of Sydney, Sydney, NSW, Australia#TAB#']","J. R. Quinlan (corresponding author), Univ. of Sydney, Sydney, NSW, Australia#TAB#","Classifier systems play a major role in machine learning and knowledge-based systems, and Ross Quinlan's work on ID3 and C4.5 is widely acknowledged to have made some of the most significant contributions to their development. This book is a complete guide to the C4.5 system as implemented in C for the UNIX environment. It contains a comprehensive guide to the system's use , the source code (about 8,800 lines), and implementation notes. The source code and sample datasets are also available for download (see below). C4.5 starts with large sets of cases belonging to known classes. The cases,",,,,,"['Computer science', 'Unix', 'Classifier (UML)', 'Machine learning', 'Artificial intelligence', 'Source code', 'Workstation', 'Software', 'Decision tree', 'Sample (material)', 'Software engineering', 'Data mining', 'Programming language', 'Operating system']",[],[],,OPENALEX,"J. R. Quinlan, 1992, ","J. R. Quinlan, 1992, "
https://openalex.org/W1570448133,10.1016/c2009-0-19715-5,Data Mining: Practical Machine Learning Tools and Techniques,2011,en,book,25711,ELSEVIER EBOOKS,Elsevier eBooks,"['Ian H. Witten', 'Eibe Frank', 'Mark A. Hall']","['Witten, Ian H. 1947-', 'Frank, Eibe', 'Hall, Mark A.']",[],"Witten, Ian H. 1947- (corresponding author), ","As with any burgeoning technology that enjoys commercial attention, the use of data mining is surrounded by a great deal of hype. Exaggerated reports tell of secrets that can be uncovered by setting algorithms loose on oceans of data. But there is no magic in machine learning, no hidden power, no alchemy. Instead there is an identifiable body of practical techniques that can extract useful information from raw data. This book describes these techniques and shows how they work. The book is a major revision of the first edition that appeared in 1999. While the basic core remains the same, it has been updated to reflect the changes that have taken place over five years, and now has nearly double the references. The highlights for the new edition include thirty new technique sections; an enhanced Weka machine learning workbench, which now features an interactive interface; comprehensive information on neural networks; a new section on Bayesian networks; plus much more.",,,,,"['Computer science', 'Machine learning', 'Data science', 'Data mining', 'Artificial intelligence']","['https://openalex.org/W23418094', 'https://openalex.org/W24402856', 'https://openalex.org/W28412257', 'https://openalex.org/W43179442', 'https://openalex.org/W64096637', 'https://openalex.org/W66926763', 'https://openalex.org/W69783631', 'https://openalex.org/W122789262', 'https://openalex.org/W123339444', 'https://openalex.org/W138217685', 'https://openalex.org/W149472151', 'https://openalex.org/W173229765', 'https://openalex.org/W187357405', 'https://openalex.org/W586094522', 'https://openalex.org/W589058777', 'https://openalex.org/W1483135265', 'https://openalex.org/W1483679765', 'https://openalex.org/W1492324553', 'https://openalex.org/W1492698999', 'https://openalex.org/W1495859460', 'https://openalex.org/W1500698297', 'https://openalex.org/W1506285740', 'https://openalex.org/W1513366687', 'https://openalex.org/W1516443426', 'https://openalex.org/W1520687314', 'https://openalex.org/W1523856491', 'https://openalex.org/W1524704912', 'https://openalex.org/W1528113134', 'https://openalex.org/W1530010412', 'https://openalex.org/W1533544838', 'https://openalex.org/W1533946607', 'https://openalex.org/W1536719366', 'https://openalex.org/W1550206324', 'https://openalex.org/W1550821944', 'https://openalex.org/W1551066950', 'https://openalex.org/W1553019137', 'https://openalex.org/W1553313034', 'https://openalex.org/W1554663460', 'https://openalex.org/W1555244713', 'https://openalex.org/W1559060276', 'https://openalex.org/W1560107318', 'https://openalex.org/W1563088657', 'https://openalex.org/W1564947197', 'https://openalex.org/W1571836963', 'https://openalex.org/W1572964175', 'https://openalex.org/W1572978214', 'https://openalex.org/W1573228426', 'https://openalex.org/W1576962511', 'https://openalex.org/W1582036668', 'https://openalex.org/W1583700199', 'https://openalex.org/W1584333058', 'https://openalex.org/W1585221258', 'https://openalex.org/W1585610988', 'https://openalex.org/W1585743408', 'https://openalex.org/W1588100052', 'https://openalex.org/W1588282782', 'https://openalex.org/W1597165973', 'https://openalex.org/W1598333443', 'https://openalex.org/W1598696986', 'https://openalex.org/W1600437712', 'https://openalex.org/W1601529450', 'https://openalex.org/W1604345466', 'https://openalex.org/W1605275907', 'https://openalex.org/W1605688901', 'https://openalex.org/W1605957858', 'https://openalex.org/W1619226191', 'https://openalex.org/W1625504505', 'https://openalex.org/W1630964756', 'https://openalex.org/W1641039719', 'https://openalex.org/W1648885110', 'https://openalex.org/W1670263352', 'https://openalex.org/W1673310716', 'https://openalex.org/W1676820704', 'https://openalex.org/W1678889691', 'https://openalex.org/W1679846099', 'https://openalex.org/W1680392829', 'https://openalex.org/W1763728792', 'https://openalex.org/W1781794689', 'https://openalex.org/W1800049145', 'https://openalex.org/W1806329564', 'https://openalex.org/W1817561967', 'https://openalex.org/W1833977909', 'https://openalex.org/W1861764418', 'https://openalex.org/W1881647329', 'https://openalex.org/W1882120692', 'https://openalex.org/W1906182963', 'https://openalex.org/W1907578970', 'https://openalex.org/W1908888846', 'https://openalex.org/W1912123407', 'https://openalex.org/W1932571505', 'https://openalex.org/W1955600018', 'https://openalex.org/W1969482724', 'https://openalex.org/W1978515644', 'https://openalex.org/W1979711143', 'https://openalex.org/W1982161962', 'https://openalex.org/W1985593448', 'https://openalex.org/W1987947967', 'https://openalex.org/W1990748933', 'https://openalex.org/W1995945562', 'https://openalex.org/W2001619934', 'https://openalex.org/W2008906462', 'https://openalex.org/W2014725748', 'https://openalex.org/W2015401436', 'https://openalex.org/W2017337590', 'https://openalex.org/W2019575783', 'https://openalex.org/W2024046085', 'https://openalex.org/W2024646871', 'https://openalex.org/W2024668293', 'https://openalex.org/W2035890032', 'https://openalex.org/W2037603696', 'https://openalex.org/W2037768235', 'https://openalex.org/W2037965136', 'https://openalex.org/W2042385018', 'https://openalex.org/W2048679005', 'https://openalex.org/W2053154970', 'https://openalex.org/W2057720927', 'https://openalex.org/W2058732827', 'https://openalex.org/W2064853889', 'https://openalex.org/W2065861851', 'https://openalex.org/W2066636486', 'https://openalex.org/W2067098334', 'https://openalex.org/W2068337856', 'https://openalex.org/W2073308541', 'https://openalex.org/W2073583237', 'https://openalex.org/W2074610805', 'https://openalex.org/W2075665712', 'https://openalex.org/W2078579128', 'https://openalex.org/W2095749253', 'https://openalex.org/W2095897464', 'https://openalex.org/W2097089247', 'https://openalex.org/W2097569937', 'https://openalex.org/W2100406636', 'https://openalex.org/W2102009083', 'https://openalex.org/W2105494575', 'https://openalex.org/W2105497548', 'https://openalex.org/W2106393550', 'https://openalex.org/W2108949035', 'https://openalex.org/W2110119381', 'https://openalex.org/W2111746072', 'https://openalex.org/W2112076978', 'https://openalex.org/W2112841646', 'https://openalex.org/W2113242816', 'https://openalex.org/W2117812871', 'https://openalex.org/W2118020653', 'https://openalex.org/W2118383892', 'https://openalex.org/W2119821739', 'https://openalex.org/W2119885577', 'https://openalex.org/W2120216197', 'https://openalex.org/W2122111042', 'https://openalex.org/W2122410182', 'https://openalex.org/W2129113961', 'https://openalex.org/W2129249398', 'https://openalex.org/W2132166479', 'https://openalex.org/W2133632100', 'https://openalex.org/W2134696506', 'https://openalex.org/W2138064700', 'https://openalex.org/W2138621811', 'https://openalex.org/W2139059214', 'https://openalex.org/W2140190241', 'https://openalex.org/W2142767931', 'https://openalex.org/W2142819948', 'https://openalex.org/W2142957916', 'https://openalex.org/W2143349571', 'https://openalex.org/W2143426320', 'https://openalex.org/W2144907232', 'https://openalex.org/W2146257637', 'https://openalex.org/W2147492008', 'https://openalex.org/W2147810216', 'https://openalex.org/W2148949939', 'https://openalex.org/W2149706766', 'https://openalex.org/W2153028052', 'https://openalex.org/W2154318594', 'https://openalex.org/W2154642793', 'https://openalex.org/W2156909104', 'https://openalex.org/W2160642098', 'https://openalex.org/W2161077873', 'https://openalex.org/W2163915185', 'https://openalex.org/W2164818318', 'https://openalex.org/W2166559705', 'https://openalex.org/W2167793421', 'https://openalex.org/W2170112109', 'https://openalex.org/W2170654002', 'https://openalex.org/W2170726034', 'https://openalex.org/W2170913656', 'https://openalex.org/W2172162418', 'https://openalex.org/W2172780573', 'https://openalex.org/W2277957941', 'https://openalex.org/W2331052961', 'https://openalex.org/W2621280964', 'https://openalex.org/W2912934387', 'https://openalex.org/W2913066018', 'https://openalex.org/W2914369697', 'https://openalex.org/W2953014340', 'https://openalex.org/W2988864014', 'https://openalex.org/W3017143921', 'https://openalex.org/W3023540311', 'https://openalex.org/W3083113686', 'https://openalex.org/W3085162807', 'https://openalex.org/W3123294050', 'https://openalex.org/W3163638146', 'https://openalex.org/W3193477162', 'https://openalex.org/W3203633735', 'https://openalex.org/W3208887124']",[],,OPENALEX,"Ian H. Witten, 2011, Elsevier eBooks","Ian H. Witten, 2011, Elsevier eBooks"
https://openalex.org/W3120740533,,UCI Machine Learning Repository,2007,en,article,24320,MEDICAL ENTOMOLOGY AND ZOOLOGY,Medical Entomology and Zoology,['Arthur Asuncion'],['Arthur Asuncion'],[],"Arthur Asuncion (corresponding author), ",,,,,,"['Computer science', 'Artificial intelligence']",[],[],,OPENALEX,"Arthur Asuncion, 2007, Medical Entomology and Zoology","Arthur Asuncion, 2007, Medical Entomology and Zoology"
https://openalex.org/W1663973292,10.1117/1.2819119,Pattern Recognition and Machine Learning,2007,en,article,22082,JOURNAL OF ELECTRONIC IMAGING,Journal of Electronic Imaging,['Nasser M. Nasrabadi'],['Nasser M. Nasrabadi'],"['West Virginia Univ. (United States)', 'Microsoft']","Nasser M. Nasrabadi (corresponding author), West Virginia Univ. (United States); Microsoft","The <i>Journal of Electronic Imaging</i> (JEI), copublished bimonthly with the Society for Imaging Science and Technology, publishes peer-reviewed papers that cover research and applications in all areas of electronic imaging science and technology.",16,4,049901,049901,"['Computer science', 'Imaging science', 'Cover (algebra)', 'Data science', 'Artificial intelligence', 'Engineering']","['https://openalex.org/W1480376833', 'https://openalex.org/W1496317909', 'https://openalex.org/W2117812871', 'https://openalex.org/W3215037115', 'https://openalex.org/W4232383088', 'https://openalex.org/W4292691288']",[],,OPENALEX,"Nasser M. Nasrabadi, 2007, Journal of Electronic Imaging","Nasser M. Nasrabadi, 2007, Journal of Electronic Imaging"
https://openalex.org/W1639032689,,"Genetic Algorithms in Search, Optimization and Machine Learning",1988,en,book,17771,,,['David E. Goldberg'],['David E. Goldberg'],[],"David E. Goldberg (corresponding author), ","David Goldberg's Genetic Algorithms in Search, Optimization and Machine Learning is by far the bestselling introduction to genetic algorithms. Goldberg is one of the preeminent researchers in the field--he has published over 100 research articles on genetic algorithms and is a student of John Holland, the father of genetic algorithms--and his deep understanding of the material shines through. The book contains a complete listing of a simple genetic algorithm in Pascal, which C programmers can easily understand. The book covers all of the important topics in the field, including crossover, mutation, classifier systems, and fitness scaling, giving a novice with a computer science background enough information to implement a genetic algorithm and describe genetic algorithms to a friend.",,,,,"['Pascal (unit)', 'Computer science', 'Genetic programming', 'Genetic algorithm', 'Machine learning', 'Artificial intelligence', 'Quality control and genetic algorithms', 'Theoretical computer science', 'Algorithm', 'Programming language', 'Meta-optimization']",[],[],,OPENALEX,"David E. Goldberg, 1988, ","David E. Goldberg, 1988, "
https://openalex.org/W1583837637,10.1145/1273496,Proceedings of the 24th international conference on Machine learning,2007,en,preprint,11733,,,[],[],[],,"This volume contains the papers accepted to the 24th International Conference on Machine Learning (ICML 2007), which was held at Oregon State University in Corvalis, Oregon, from June 20th to 24th, 2007. ICML is the annual conference of the International Machine Learning Society (IMLS), and provides a venue for the presentation and discussion of current research in the field of machine learning. These proceedings can also be found online at: http://www.machinelearning.org. This year there were 522 submissions to ICML. There was a very thorough review process, in which each paper was reviewed by three program committee (PC) members. Authors were able to respond to the initial reviews, and the PC members could then modify their reviews based on online discussions and the content of this author response. For the first time this year there were two discussion periods led by the senior program committee (SPC), one just before and one after the submission of author responses. At the end of the second discussion period, the SPC members gave their recommendations and provided a summary review for each of their papers. Also for the first time, authors were asked to submit a list of changes with their final accepted papers, which was checked by the SPCs to ensure that reviewer comments had been addressed. Apart from the length restrictions on papers and the compressed time frame, the review process for ICML resembles that of many journal publications. In total, 150 papers were accepted to ICML this year, including a very small number of papers which were initially conditionally accepted, yielding an overall acceptance rate of 29%. ICML attracts submissions from machine learning researchers around the globe. The 150 accepted papers this year were geographically distributed as follows: 66 papers had a first author from the US, 32 from Europe, 19 from China or Hong Kong, 11 from Canada, 6 from India, 5 each from Australia and Japan, 3 from Israel, and 1 each from Korea, Russia and Taiwan. In addition to the main program of accepted papers, which includes both a talk and poster presentation for each paper, the ICML program included 3 workshops and 8 tutorials on machine learning topics which are currently of broad interest. We were also extremely pleased to have David Heckerman (Microsoft Research), Joshua Tenenbaum (Massachussetts Institute of Technology), and Bernhard Schölkopf (Max Planck Institute for Biological Cybernetics) as the invited speakers this year. Thanks to sponsorship by the Machine Learning Journal, we were able to award a number of outstanding student paper prizes. We were fortunate this year that ICML was co-located with the International Conference on Inductive Logic Programming (ILP 2007). ICML and ILP held joint sessions on the first day of ICML 2007.",,,,,"['Presentation (obstetrics)', 'Library science', 'Computer science', 'Medical education', 'Medicine']",[],[],,OPENALEX,"NA, 2007, ","NA, 2007, "
https://openalex.org/W1503398984,,Machine learning a probabilistic perspective,2012,en,book,9327,,,['Kevin P. Murphy'],['Kevin P. Murphy'],[],"Kevin P. Murphy (corresponding author), ","Today's Web-enabled deluge of electronic data calls for automated methods of data analysis. Machine learning provides these, developing methods that can automatically detect patterns in data and then use the uncovered patterns to predict future data. This textbook offers a comprehensive and self-contained introduction to the field of machine learning, based on a unified, probabilistic approach. The coverage combines breadth and depth, offering necessary background material on such topics as probability, optimization, and linear algebra as well as discussion of recent developments in the field, including conditional random fields, L1 regularization, and deep learning. The book is written in an informal, accessible style, complete with pseudo-code for the most important algorithms. All topics are copiously illustrated with color images and worked examples drawn from such application domains as biology, text processing, computer vision, and robotics. Rather than providing a cookbook of different heuristic methods, the book stresses a principled model-based approach, often using the language of graphical models to specify models in a concise and intuitive way. Almost all the models described have been implemented in a MATLAB software package--PMTK (probabilistic modeling toolkit)--that is freely available online. The book is suitable for upper-level undergraduates with an introductory-level college math background and beginning graduate students.",,,,,"['Computer science', 'Probabilistic logic', 'Artificial intelligence', 'Field (mathematics)', 'Conditional random field', 'Heuristic', 'Machine learning', 'Graphical model', 'Regularization (linguistics)', 'Software', 'Programming language']",[],[],,OPENALEX,"Kevin P. Murphy, 2012, ","Kevin P. Murphy, 2012, "
https://openalex.org/W1901616594,10.1126/science.aaa8415,"Machine learning: Trends, perspectives, and prospects",2015,en,review,9504,SCIENCE,Science,"['Michael I. Jordan', 'Tom M. Mitchell']","['M. I. Jordan', 'T. M. Mitchell']","['Department of Electrical Engineering and Computer Sciences, Department of Statistics, University of California, Berkeley, CA, USA', 'Machine Learning Department, Carnegie Mellon University, Pittsburgh, PA, USA', 'Machine Learning Department, Carnegie Mellon University, Pittsburgh, PA, USA#TAB#']","T. M. Mitchell (corresponding author), Machine Learning Department, Carnegie Mellon University, Pittsburgh, PA, USA; Machine Learning Department, Carnegie Mellon University, Pittsburgh, PA, USA#TAB#","Machine learning addresses the question of how to build computers that improve automatically through experience. It is one of today's most rapidly growing technical fields, lying at the intersection of computer science and statistics, and at the core of artificial intelligence and data science. Recent progress in machine learning has been driven both by the development of new learning algorithms and theory and by the ongoing explosion in the availability of online data and low-cost computation. The adoption of data-intensive machine-learning methods can be found throughout science, technology and commerce, leading to more evidence-based decision-making across many walks of life, including health care, manufacturing, education, financial modeling, policing, and marketing.",349,6245,255,260,"['Intersection (aeronautics)', 'Computer science', 'Artificial intelligence', 'Core (optical fiber)', 'Data science', 'Machine learning', 'Big data', 'Computation', 'Lying', 'Engineering', 'Data mining']","['https://openalex.org/W99485931', 'https://openalex.org/W1503398984', 'https://openalex.org/W1512585804', 'https://openalex.org/W1554944419', 'https://openalex.org/W1569098853', 'https://openalex.org/W1873763122', 'https://openalex.org/W1970472910', 'https://openalex.org/W1992570774', 'https://openalex.org/W1999352252', 'https://openalex.org/W2006452405', 'https://openalex.org/W2019363670', 'https://openalex.org/W2042469398', 'https://openalex.org/W2047281923', 'https://openalex.org/W2076063813', 'https://openalex.org/W2097381042', 'https://openalex.org/W2100495367', 'https://openalex.org/W2117726420', 'https://openalex.org/W2127180992', 'https://openalex.org/W2132001804', 'https://openalex.org/W2145339207', 'https://openalex.org/W2146774335', 'https://openalex.org/W2151320232', 'https://openalex.org/W2160815625', 'https://openalex.org/W2163605009', 'https://openalex.org/W2174706414', 'https://openalex.org/W2618530766', 'https://openalex.org/W3102480238', 'https://openalex.org/W4214717370', 'https://openalex.org/W4231109964', 'https://openalex.org/W4238893454', 'https://openalex.org/W4244670803', 'https://openalex.org/W4292363360']",[],,OPENALEX,"Michael I. Jordan, 2015, Science","Michael I. Jordan, 2015, Science"
